NO,SEKTOR,JENIS_IZIN,BULAN,JUMLAH
64,PERHUBUNGAN,IZIN TRAYEK,MARET,0.0
65,SOSIAL,TANDA DAFTAR LEMBAGA KESEJAHTERAAN SOSIAL,MARET,2.0
66,TENAGA KERJA,TANDA DAFTAR BURSA KERJA KHUSUS,MARET,0.0
67,LINGKUNGAN HIDUP,IZIN SAMBUNGAN RUMAH AIR LIMBAH DOMESTIK,MARET,0.0
68,PERDAGANGAN,TANDA DAFTAR GUDANG,MARET,0.0
69,PERDAGANGAN,SIUPMB GOL B DAN C,MARET,0.0
70,PERDAGANGAN,SURAT KETERANGAN PENDIRIAN TOKO SWALAYAN,MARET,0.0
J  U  M  L  A  H,,,MARET,1040.0
,,,MARET,46.0
1,KESEHATAN,IZIN PRAKTIK BIDAN,APRIL,29.0
2,KESEHATAN,IZIN PRAKTIK PERAWAT,APRIL,0.0
3,KESEHATAN,IZIN PRAKTIK TERAPIS GIGI DAN MULUT ,APRIL,3.0
4,KESEHATAN,IZIN PRAKTIK PERAWAT SPESIALIS,APRIL,0.0
5,KESEHATAN,IZIN PRAKTIK TENAGA KEFARMASIAN,APRIL,29.0
6,KESEHATAN,IZIN PRAKTIK FISIOTERAPIS,APRIL,6.0
7,KESEHATAN,IZIN PRAKTIK RADIOGRAFER,APRIL,2.0
8,KESEHATAN,IZIN PRAKTIK REFRAKSIONIS OPTISIEN,APRIL,1.0
9,KESEHATAN,IZIN PRAKTIK OKUPASI TERAPIS ,APRIL,3.0
10,KESEHATAN,IZIN PRAKTIK TERAPIS WICARA,APRIL,6.0
11,KESEHATAN,IZIN PRAKTIK APOTEKER,APRIL,34.0
12,KESEHATAN,IZIN PRAKTIK SANITARIAN/ TENAGA SANITASI LINGKUNGAN,APRIL,1.0
13,KESEHATAN,IZIN PRAKTIK AHLI TEKNOLOGI LABORATORIUM MEDIK ,APRIL,18.0
14,KESEHATAN,IZIN PRAKTIK PSIKOLOGIS KLINIS,APRIL,6.0
15,KESEHATAN,IZIN PRAKTIK PEREKAM MEDIS DAN INFORMASI,APRIL,7.0
16,KESEHATAN,IZIN PRAKTIK DOKTER UMUM,APRIL,29.0
17,KESEHATAN,IZIN PRAKTIK DOKTER GIGI,APRIL,20.0
18,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS,APRIL,63.0
19,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS GIGI,APRIL,8.0
20,KESEHATAN,IZIN PRAKTIK LAYANAN DARAH/ TRANSFUSI,APRIL,6.0
21,KESEHATAN,IZIN PRAKTIK ELEKTROMEDIS,APRIL,0.0
22,KESEHATAN,IZIN PRAKTIK / KERJA TENAGA GIZI,APRIL,4.0
23,KESEHATAN,IZIN PRAKTIK PENATA ANESTESI,APRIL,2.0
24,KESEHATAN,TEKNISI GIGI,APRIL,0.0
25,KESEHATAN,ORTOTIK PROSTETIK,APRIL,0.0
26,KESEHATAN,RADIOTERAPIS,APRIL,0.0
27,KESEHATAN,AKUPUNKTUR,APRIL,0.0
28,KESEHATAN,EPIDEMIOLOG KESEHATAN,APRIL,0.0
29,KESEHATAN,TENAGA PROMOSI KESEHATAN DAN ILMU PERILAKU,APRIL,0.0
30,KESEHATAN,PEMBIMBING KESEHATAN KERJA,APRIL,0.0
31,KESEHATAN,TENAGA ADMINISTRASI DAN KEBIJAKAN KESEHATAN,APRIL,0.0
32,KESEHATAN,TENAGA BIOSTATISTIK DAN KEPENDUDUKAN,APRIL,0.0
33,KESEHATAN,TENAGA KESEHATAN REPRODUKSI DAN KELUARGA,APRIL,0.0
34,KESEHATAN,ENTOMOLOG KESEHATAN,APRIL,0.0
35,KESEHATAN,MIKROBIOLOG KESEHATAN,APRIL,0.0
36,KESEHATAN,TEKNIS KARDIOVASKULER,APRIL,0.0
37,KESEHATAN,AUDIOLOGIS,APRIL,0.0
38,KESEHATAN,FISIKAWAN MEDIK,APRIL,1.0
39,KESEHATAN,TENAGA KESEHATAN TRADISIONAL RAMUAN,APRIL,0.0
40,KESEHATAN,TENAGA KESEHATAN TRADISIONAL KETRAMPILAN,APRIL,0.0
41,KESEHATAN,IZIN PRAKTIK PERAWAT GIGI,APRIL,0.0
42,PERTANIAN,IZIN PRAKTEK DOKTER HEWAN WARGA NEGARA INDONESIA,APRIL,5.0
43,PERTANIAN,IZIN PRAKTEK DOKTER HEWAN WARGA NEGARA ASING,APRIL,0.0
44,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER KESEHATAN HEWAN,APRIL,0.0
45,PERTANIAN,IZIN  PRAKTIK PARAMEDIK INSEMINATOR  ,APRIL,0.0
46,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER PEMERIKSAAN KEBUNTINGAN,APRIL,0.0
47,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER ASISTEN TEKNIS REPRODUKSI,APRIL,0.0
48,PERTANIAN,SURAT KETERANGAN PEMENUHAN TEMPAT PRAKTIK DOKTER HEWAN,APRIL,0.0
49,PENDIDIKAN,"IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL (TPA, SPS, KB, BIMBEL, LKP, TK)",APRIL,10.0
50,PENDIDIKAN,"IZIN PENDIRIAN SATUAN PENDIDIKAN (SD,SMP)",APRIL,0.0
51,PENDIDIKAN,IZIN KULIAH KERJA NYATA,APRIL,0.0
52,PENDIDIKAN,SURAT KETERANGAN PENELITIAN,APRIL,2.0
53,TATA RUANG,KONFIRMASI KKPR NON BERUSAHA,APRIL,40.0
54,TATA RUANG,PERSETUJUAN KKPR NON BERUSAHA,APRIL,10.0
55,TATA RUANG,PEMUTAKHIRAN KONFIRMASI KKPR,APRIL,0.0
56,TATA RUANG,KETERANGAN RENCANA KABUPATEN,APRIL,36.0
57,PEKERJAAN UMUM,IZIN MENGGUNAKAN RUANG MILIK JALAN UNTUK UTILITAS/MEDIA IKLAN/JALAN MASUK (IN GANG),APRIL,1.0
58,PEKERJAAN UMUM,IZIN PENUTUPAN SALURAN DRAINASE,APRIL,0.0
59,PEKERJAAN UMUM,IZIN PENUTUPAN SALURAN IRIGASI DAN SEMPADAN SALURAN IRIGASI,APRIL,8.0
60,PEKERJAAN UMUM,IZIN PEMINDAHAN SALURAN IRIGASI,APRIL,1.0
61,PEKERJAAN UMUM,IZIN REKLAME,APRIL,0.0
62,PEKERJAAN UMUM,PERSETUJUAN BANGUNAN GEDUNG,APRIL,251.0
63,PERHUBUNGAN,IZIN PENYELENGGARAAN FASILITAS PARKIR (RETRIBUSI PARKIR),APRIL,0.0
64,PERHUBUNGAN,IZIN TRAYEK,APRIL,0.0
65,SOSIAL,TANDA DAFTAR LEMBAGA KESEJAHTERAAN SOSIAL,APRIL,2.0
66,TENAGA KERJA,TANDA DAFTAR BURSA KERJA KHUSUS,APRIL,0.0
67,LINGKUNGAN HIDUP,IZIN SAMBUNGAN RUMAH AIR LIMBAH DOMESTIK,APRIL,0.0
68,PERDAGANGAN,TANDA DAFTAR GUDANG,APRIL,0.0
69,PERDAGANGAN,SIUPMB GOL B DAN C,APRIL,2.0
70,PERDAGANGAN,SURAT KETERANGAN PENDIRIAN TOKO SWALAYAN,APRIL,0.0
J  U  M  L  A  H,,,APRIL,646.0
